N°,Observación,Estado
1,"The manuscript requires thorough proofreading to improve grammar, punctuation, spacing, and overall academic writing quality. Several awkward sentence constructions, inconsistent terminology, and minor typographical errors reduce readability throughout the manuscript.",Pendiente
2,"The abstract should be revised to clearly separate the research problem (decision tree overfitting and structural complexity), the proposed Structural Regularized Cost-Complexity Pruning (SR-CCP) method, the structural regularization strategy, the experimental setup, and the key quantitative findings.",Pendiente
3,The introduction should be condensed by reducing repetitive discussion of decision tree variants and conventional pruning methods while placing greater emphasis on the limitations of existing Cost-Complexity Pruning techniques.,Pendiente
4,"The research gap should be stated more explicitly, particularly explaining why existing pruning techniques fail to jointly optimize predictive performance, tree depth, and feature utilization.",Pendiente
5,"The novelty of the proposed SR-CCP algorithm should be emphasized more clearly by explicitly distinguishing it from classical CCP, Reduced Error Pruning (REP), Minimal Error Pruning (MEP), and Depth-Based Pruning (DBP).",Pendiente
6,"The related work should be strengthened by incorporating additional recent studies (2024–2026) on decision tree pruning, interpretable machine learning, model compression, and structural regularization techniques.",Pendiente
7,"The methodology section should provide a clearer step-by-step explanation of the complete SR-CCP workflow, including tree generation, pruning path construction, Bayesian optimization, structural regularization, and model selection.",Pendiente
8,"The mathematical formulation should be expanded with clearer explanations of the proposed objective function, the role of each regularization parameter, and the theoretical motivation for incorporating depth and feature penalties.",Pendiente
9,"The hyperparameter optimization procedure should be described in greater detail, including the Bayesian optimization settings, search iterations, convergence criteria, and computational cost.",Pendiente
10,"The experimental setup should include complete implementation details, including software libraries, hardware specifications, execution environment, random seed, and reproducibility parameters.",Pendiente
11,"The results section should include statistical significance analysis (e.g., paired t-test, Wilcoxon signed-rank test, or Friedman/Nemenyi tests) to demonstrate that the reported improvements are statistically significant.",Pendiente
12,"Additional comparisons with recent interpretable tree-learning algorithms, regularized tree methods, gradient-boosted tree pruning techniques, and explainable machine learning approaches should be included to strengthen the experimental evaluation.",Pendiente
13,"The discussion should provide deeper analysis of the trade-offs between predictive performance, model simplicity, feature reduction, and inference time instead of primarily reporting numerical results.",Pendiente
14,An ablation study should be included to evaluate the independent contribution of the depth penalty and feature penalty components within the proposed SR-CCP objective function.,Pendiente
15,The computational complexity of the proposed algorithm should be analyzed and compared with existing pruning techniques to demonstrate its scalability for larger datasets.,Pendiente
16,"The conclusion should better emphasize the validated technical contribution, practical implications for interpretable machine learning, study limitations, and future research directions such as ensemble tree pruning and adaptive regularization.",Pendiente
17,"All figures should be cited and discussed in the body text before they appear, with stronger analytical discussion rather than descriptive explanation.",Pendiente
18,"Improve the resolution of all figures significantly. All plots, radar charts, boxplots, and workflow diagrams should be replaced with high-resolution (≥300 DPI) or vector-based formats (SVG/PDF) suitable for journal publication standards.",Pendiente
19,"Add a complete workflow diagram illustrating dataset preparation, baseline tree generation, Bayesian optimization, SR-CCP pruning, and final model evaluation.",Pendiente
20,"Add a statistical comparison chart summarizing the performance of all pruning methods across all evaluation metrics, including significance indicators.",Pendiente
21,Add a parameter sensitivity analysis illustrating the influence of the regularization parameters (λd and λf) on tree complexity and predictive performance.,Pendiente
22,"Add a computational efficiency comparison showing training time, pruning time, inference time, and memory usage for all pruning methods.",Pendiente
23,"Ensure all tables follow the journal formatting requirements, with captions placed above tables, consistent formatting, uniform decimal precision, and clearly defined abbreviations and evaluation metrics.",Pendiente
24,All references should be cited in the body of the text in the same order in which they appear in the reference list at the end of the paper.,Pendiente