Dataset,Sweep,depth_penalty,feature_penalty_weight,accuracy,f1,balanced_accuracy,depth,nodes,leaves,n_features,best_alpha,best_score
BanknoteAuth,depth_penalty,0.0001,0.039638958863878505,0.912621359223301,0.9127791911115726,0.9137136993819648,3,7,4,2,0.035667684305499985,0.912621359223301
BanknoteAuth,depth_penalty,0.00019306977288832496,0.039638958863878505,0.912621359223301,0.9127791911115726,0.9137136993819648,3,7,4,2,0.03613303316994161,0.912621359223301
BanknoteAuth,depth_penalty,0.0003727593720314938,0.039638958863878505,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.042248274468098965,0.8737864077669902
BanknoteAuth,depth_penalty,0.0007196856730011522,0.039638958863878505,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.04467675857488657,0.8737864077669902
BanknoteAuth,depth_penalty,0.0013894954943731374,0.039638958863878505,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.049365427324490466,0.8737864077669902
BanknoteAuth,depth_penalty,0.0026826957952797246,0.039638958863878505,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.05841782943083658,0.8737864077669902
BanknoteAuth,depth_penalty,0.005179474679231213,0.039638958863878505,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.07589528161849698,0.8737864077669902
BanknoteAuth,depth_penalty,0.01,0.039638958863878505,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.07540431026346338,0.8737864077669902
BanknoteAuth,feature_penalty_weight,0.0016445845403801217,0.01,0.912621359223301,0.9127791911115726,0.9137136993819648,3,7,4,2,0.02151209178266085,0.912621359223301
BanknoteAuth,feature_penalty_weight,0.0016445845403801217,0.037142857142857144,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.048654948925518,0.8737864077669902
BanknoteAuth,feature_penalty_weight,0.0016445845403801217,0.06428571428571428,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.07579780606837513,0.8737864077669902
BanknoteAuth,feature_penalty_weight,0.0016445845403801217,0.09142857142857143,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.06835162637124845,0.8737864077669902
BanknoteAuth,feature_penalty_weight,0.0016445845403801217,0.11857142857142856,0.8737864077669902,0.8734595785066465,0.8699978523874293,2,5,3,2,0.08192305494267701,0.8737864077669902
BanknoteAuth,feature_penalty_weight,0.0016445845403801217,0.1457142857142857,0.8252427184466019,0.825333319605885,0.8351110792946286,1,3,2,1,0.15722637749694657,0.8252427184466019
BanknoteAuth,feature_penalty_weight,0.0016445845403801217,0.17285714285714288,0.8252427184466019,0.825333319605885,0.8351110792946286,1,3,2,1,0.18436923463980373,0.8252427184466019
BanknoteAuth,feature_penalty_weight,0.0016445845403801217,0.2,0.8252427184466019,0.825333319605885,0.8351110792946286,1,3,2,1,0.21151209178266087,0.8252427184466019
BreastCancer,depth_penalty,0.0001,0.19063571821788408,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.04164027519498741,0.9181286549707602
BreastCancer,depth_penalty,0.00019306977288832496,0.19063571821788408,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.042012554286540715,0.9181286549707602
BreastCancer,depth_penalty,0.0003727593720314938,0.19063571821788408,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.042731312683113386,0.9181286549707602
BreastCancer,depth_penalty,0.0007196856730011522,0.19063571821788408,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.04411901788699202,0.9181286549707602
BreastCancer,depth_penalty,0.0013894954943731374,0.19063571821788408,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.046798257172479964,0.9181286549707602
BreastCancer,depth_penalty,0.0026826957952797246,0.19063571821788408,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.05197105837610631,0.9181286549707602
BreastCancer,depth_penalty,0.005179474679231213,0.19063571821788408,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.05751347560340652,0.9181286549707602
BreastCancer,depth_penalty,0.01,0.19063571821788408,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.04999809198989194,0.9181286549707602
BreastCancer,feature_penalty_weight,0.003807947176588889,0.01,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.0265143497262,0.9181286549707602
BreastCancer,feature_penalty_weight,0.003807947176588889,0.037142857142857144,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.03646673067858095,0.9181286549707602
BreastCancer,feature_penalty_weight,0.003807947176588889,0.06428571428571428,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.0464191116309619,0.9181286549707602
BreastCancer,feature_penalty_weight,0.003807947176588889,0.09142857142857143,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.056371492583342855,0.9181286549707602
BreastCancer,feature_penalty_weight,0.003807947176588889,0.11857142857142856,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.042059205972051865,0.9181286549707602
BreastCancer,feature_penalty_weight,0.003807947176588889,0.1457142857142857,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.04748777740062329,0.9181286549707602
BreastCancer,feature_penalty_weight,0.003807947176588889,0.17285714285714288,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.05291634882919473,0.9181286549707602
BreastCancer,feature_penalty_weight,0.003807947176588889,0.2,0.9181286549707602,0.9183722489581477,0.9157418224299065,2,5,3,2,0.05834492025776616,0.9181286549707602
HeartDisease,depth_penalty,0.0001,0.039638958863878505,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.03434065750020489,0.7654320987654321
HeartDisease,depth_penalty,0.00019306977288832496,0.039638958863878505,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.03508521568331149,0.7654320987654321
HeartDisease,depth_penalty,0.0003727593720314938,0.039638958863878505,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.036522732476456835,0.7654320987654321
HeartDisease,depth_penalty,0.0007196856730011522,0.039638958863878505,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.039298142884214106,0.7654320987654321
HeartDisease,depth_penalty,0.0013894954943731374,0.039638958863878505,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.04465662145518998,0.7654320987654321
HeartDisease,depth_penalty,0.0026826957952797246,0.039638958863878505,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.04580573802624445,0.7654320987654321
HeartDisease,depth_penalty,0.005179474679231213,0.039638958863878505,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.0417612987830862,0.7654320987654321
HeartDisease,depth_penalty,0.01,0.039638958863878505,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.05140234942462378,0.7654320987654321
HeartDisease,feature_penalty_weight,0.0016445845403801217,0.01,0.7901234567901234,0.7901234567901234,0.8,4,13,7,6,0.021618214784579433,0.7901234567901234
HeartDisease,feature_penalty_weight,0.0016445845403801217,0.037142857142857144,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.044585247751612406,0.7654320987654321
HeartDisease,feature_penalty_weight,0.0016445845403801217,0.06428571428571428,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.04922886162134499,0.7654320987654321
HeartDisease,feature_penalty_weight,0.0016445845403801217,0.09142857142857143,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.04265915120764446,0.7654320987654321
HeartDisease,feature_penalty_weight,0.0016445845403801217,0.11857142857142856,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.04683497538346865,0.7654320987654321
HeartDisease,feature_penalty_weight,0.0016445845403801217,0.1457142857142857,0.7654320987654321,0.7513227513227513,0.7416666666666667,2,5,3,2,0.051010799559292816,0.7654320987654321
HeartDisease,feature_penalty_weight,0.0016445845403801217,0.17285714285714288,0.7407407407407407,0.7415329768270944,0.7444444444444445,1,3,2,1,0.11338616131071147,0.7407407407407407
HeartDisease,feature_penalty_weight,0.0016445845403801217,0.2,0.7407407407407407,0.7415329768270944,0.7444444444444445,1,3,2,1,0.12800154592609608,0.7407407407407407
Ionosphere,depth_penalty,0.0001,0.19063571821788408,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.06267626177637427,0.8962264150943396
Ionosphere,depth_penalty,0.00019306977288832496,0.19063571821788408,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.06360695950525752,0.8962264150943396
Ionosphere,depth_penalty,0.0003727593720314938,0.19063571821788408,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.0654038554966892,0.8962264150943396
Ionosphere,depth_penalty,0.0007196856730011522,0.19063571821788408,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.06887311850638579,0.8962264150943396
Ionosphere,depth_penalty,0.0013894954943731374,0.19063571821788408,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.07557121672010564,0.8962264150943396
Ionosphere,depth_penalty,0.0026826957952797246,0.19063571821788408,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.08850321972917151,0.8962264150943396
Ionosphere,depth_penalty,0.005179474679231213,0.19063571821788408,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.11347100856868639,0.8962264150943396
Ionosphere,depth_penalty,0.01,0.19063571821788408,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.0989756663401477,0.8962264150943396
Ionosphere,feature_penalty_weight,0.003807947176588889,0.01,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.04131476588353595,0.8962264150943396
Ionosphere,feature_penalty_weight,0.003807947176588889,0.037142857142857144,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.050096278488577964,0.8962264150943396
Ionosphere,feature_penalty_weight,0.003807947176588889,0.06428571428571428,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.058877791093619986,0.8962264150943396
Ionosphere,feature_penalty_weight,0.003807947176588889,0.09142857142857143,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.067659303698662,0.8962264150943396
Ionosphere,feature_penalty_weight,0.003807947176588889,0.11857142857142856,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.07644081630370402,0.8962264150943396
Ionosphere,feature_penalty_weight,0.003807947176588889,0.1457142857142857,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.08522232890874604,0.8962264150943396
Ionosphere,feature_penalty_weight,0.003807947176588889,0.17285714285714288,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.09400384151378806,0.8962264150943396
Ionosphere,feature_penalty_weight,0.003807947176588889,0.2,0.8962264150943396,0.8952139399878392,0.8784829721362228,2,5,3,2,0.10278535411883008,0.8962264150943396
KC2,depth_penalty,0.0001,0.19063571821788408,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.10617268137479657,0.8089171974522293
KC2,depth_penalty,0.00019306977288832496,0.19063571821788408,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.10682416978501486,0.8089171974522293
KC2,depth_penalty,0.0003727593720314938,0.19063571821788408,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.10808199697901703,0.8089171974522293
KC2,depth_penalty,0.0007196856730011522,0.19063571821788408,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.11051048108580463,0.8089171974522293
KC2,depth_penalty,0.0013894954943731374,0.19063571821788408,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.11519914983540853,0.8089171974522293
KC2,depth_penalty,0.0026826957952797246,0.19063571821788408,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.11568815876232373,0.8089171974522293
KC2,depth_penalty,0.005179474679231213,0.19063571821788408,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.09610385598287347,0.8089171974522293
KC2,depth_penalty,0.01,0.19063571821788408,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.1202064825867174,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.01,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.045222328908746036,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.037142857142857144,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.06461008401078686,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.06428571428571428,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.08399783911282765,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.09142857142857143,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.10338559421486848,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.11857142857142856,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.12132145414772971,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.1457142857142857,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.10859803744236726,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.17285714285714288,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.11509893016446826,0.8089171974522293
KC2,feature_penalty_weight,0.003807947176588889,0.2,0.8089171974522293,0.8065934818554502,0.694,1,3,2,1,0.11888292601762183,0.8089171974522293
QSARBiodeg,depth_penalty,0.0001,0.039638958863878505,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.018811667445551503,0.7728706624605678
QSARBiodeg,depth_penalty,0.00019306977288832496,0.039638958863878505,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.018314954105152752,0.7728706624605678
QSARBiodeg,depth_penalty,0.0003727593720314938,0.039638958863878505,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.01848177095041051,0.7728706624605678
QSARBiodeg,depth_penalty,0.0007196856730011522,0.039638958863878505,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.018325101565249337,0.7728706624605678
QSARBiodeg,depth_penalty,0.0013894954943731374,0.039638958863878505,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.03170662238928288,0.7602523659305994
QSARBiodeg,depth_penalty,0.0026826957952797246,0.039638958863878505,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.028140152176642196,0.7602523659305994
QSARBiodeg,depth_penalty,0.005179474679231213,0.039638958863878505,0.7570977917981072,0.7605549152530267,0.7456163773920783,1,3,2,1,0.08249116128184542,0.7570977917981072
QSARBiodeg,depth_penalty,0.01,0.039638958863878505,0.7570977917981072,0.7605549152530267,0.7456163773920783,1,3,2,1,0.09549969597415855,0.7570977917981072
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.01,0.7728706624605678,0.7692788206265421,0.7323097463284378,3,11,6,5,0.01716638441650935,0.7728706624605678
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.037142857142857144,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.027986686469608432,0.7602523659305994
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.06428571428571428,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.02775871891128287,0.7602523659305994
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.09142857142857143,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.028534656276154383,0.7602523659305994
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.11857142857142856,0.7602523659305994,0.7506622318228238,0.7021584334668447,3,7,4,3,0.03046722216804869,0.7602523659305994
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.1457142857142857,0.7570977917981072,0.7605549152530267,0.7456163773920783,1,3,2,1,0.09875712061948563,0.7570977917981072
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.17285714285714288,0.7570977917981072,0.7605549152530267,0.7456163773920783,1,3,2,1,0.09932375332094893,0.7570977917981072
QSARBiodeg,feature_penalty_weight,0.0016445845403801217,0.2,0.7570977917981072,0.7605549152530267,0.7456163773920783,1,3,2,1,0.09747203567710619,0.7570977917981072
SpamBase,depth_penalty,0.0001,0.039638958863878505,0.8928312816799421,0.891707383431119,0.8790926540867243,4,11,6,5,0.011591359738437241,0.8928312816799421
SpamBase,depth_penalty,0.00019306977288832496,0.039638958863878505,0.8928312816799421,0.891707383431119,0.8790926540867243,4,11,6,5,0.011551113437869479,0.8928312816799421
SpamBase,depth_penalty,0.0003727593720314938,0.039638958863878505,0.8928312816799421,0.891707383431119,0.8790926540867243,4,11,6,5,0.011742455672077965,0.8928312816799421
SpamBase,depth_penalty,0.0007196856730011522,0.039638958863878505,0.8819695872556119,0.8813117760621969,0.8714190649378031,3,9,5,4,0.019419443182639204,0.8819695872556119
SpamBase,depth_penalty,0.0013894954943731374,0.039638958863878505,0.8819695872556119,0.8813117760621969,0.8714190649378031,3,9,5,4,0.019328332704676064,0.8819695872556119
SpamBase,depth_penalty,0.0026826957952797246,0.039638958863878505,0.8689355539464156,0.8686940437024953,0.8609881228477054,3,7,4,3,0.03775504743507571,0.8689355539464156
SpamBase,depth_penalty,0.005179474679231213,0.039638958863878505,0.8689355539464156,0.8686940437024953,0.8609881228477054,3,7,4,3,0.03577603220807656,0.8689355539464156
SpamBase,depth_penalty,0.01,0.039638958863878505,0.8479362780593772,0.8440727004313661,0.8230725982149132,2,5,3,2,0.07039269480053953,0.8479362780593772
SpamBase,feature_penalty_weight,0.0016445845403801217,0.01,0.8819695872556119,0.8813117760621969,0.8714190649378031,3,9,5,4,0.019423825237785786,0.8819695872556119
SpamBase,feature_penalty_weight,0.0016445845403801217,0.037142857142857144,0.8819695872556119,0.8813117760621969,0.8714190649378031,3,9,5,4,0.01770746018944931,0.8819695872556119
SpamBase,feature_penalty_weight,0.0016445845403801217,0.06428571428571428,0.8689355539464156,0.8686940437024953,0.8609881228477054,3,7,4,3,0.03682330612284718,0.8689355539464156
SpamBase,feature_penalty_weight,0.0016445845403801217,0.09142857142857143,0.8689355539464156,0.8686940437024953,0.8609881228477054,3,7,4,3,0.037849782415071864,0.8689355539464156
SpamBase,feature_penalty_weight,0.0016445845403801217,0.11857142857142856,0.8689355539464156,0.8686940437024953,0.8609881228477054,3,7,4,3,0.03747622902441272,0.8689355539464156
SpamBase,feature_penalty_weight,0.0016445845403801217,0.1457142857142857,0.8689355539464156,0.8686940437024953,0.8609881228477054,3,7,4,3,0.03485031733230645,0.8689355539464156
SpamBase,feature_penalty_weight,0.0016445845403801217,0.17285714285714288,0.8689355539464156,0.8686940437024953,0.8609881228477054,3,7,4,3,0.03637077162101922,0.8689355539464156
SpamBase,feature_penalty_weight,0.0016445845403801217,0.2,0.8689355539464156,0.8686940437024953,0.8609881228477054,3,7,4,3,0.03539550741348406,0.8689355539464156
